Mean without General speech quality = A,A - General speech quality,A - Means,"MeanDist(A, Gpq)","Mean Emotion precision of ""strong""","Mean Emotion precision of ""normal""","Mean Emotion precision of ""angry"", ""happy"", ""fearful""","Mean Emotion precision of ""neutral"", ""sad""","Pearson Correlation(Disturbing artifacts, Naturalness)","Pearson Correlation(Comprehensibility, Naturalness)",B = Naturalness / Disturbing artifacts ,C = Disturbing artifacts / Naturalness,B Mean,C Mean,Emotion,Emotion Precision Mean,Emotion Precision Standard Deviation,Mean Male GPQ,Mean Female GPQ,Mean Male CM,Mean Female CM,"Mean ""Naturalness"" without basicTTS",Naturalness basicTTS,"Mean ""Comprehensibility"" without basicTTS",Comprehensibility basicTTS
3,"-0,6153846154","-0,1230769231","-0,2537220844","2,906593407","2,490384615","2,538461538","2,546153846","0,833131647","0,8512869276","0,6666666667","1,5","0,9391846232","1,380889711",angry,"3,346153846","0,8904201503","2,948717949","3,861538462","2,780512821","3,631794872","2,907692308","0,1538461538","3,797435897","2,384615385"
"3,961538462","-0,4230769231","-0,08461538462",,,,,,,,"0,8867924528","1,127659574",,,basic_TTs,"1,153846154",,,,,,,,,
"3,673076923","0,1346153846","0,02692307692",,,,,,,,"1,189189189","0,8409090909",,,calm,"2,211538462",,,"0,9128205128",,"0,8512820513",,"2,753846154",,
"3,903846154","-0,01923076923","-0,003846153846",,,,,,,,"1,268292683","0,7884615385",,,disgust,"2,096153846",,,,,,,,,
"1,288461538","-0,4038461538","-0,08076923077",,,,,,,,"0,1052631579","9,5",,,fearful,"2,980769231",,,,,,,,,
"3,134615385","-0,5576923077","-0,1115384615",,,,,,,,"0,7608695652","1,314285714",, ,happy,"1,288461538",,,,,,,,,
"1,442307692","-0,25","-0,05",,,,,,,,"1,066666667","0,9375",,,neutral,"2,807692308",,,,,,,,,
"3,846153846","-0,3846153846","-0,07692307692",,,,,,,,"0,9056603774","1,104166667",,,sad,"3,673076923",,,,,,,,,
"2,384615385","-0,07692307692","-0,01538461538",,,,,,,,"0,6875","1,454545455",,,surprised,"3,134615385",,,,,,,,,
"3,673076923","-0,4807692308","-0,09615384615",,,,,,,,"0,9591836735","1,042553191",,,,,,,,,,,,,
"1,403846154","-0,6730769231","-0,1346153846",,,,,,,,"1,142857143","0,875",,,,,,,,,,,,,
"3,288461538","-0,6346153846","-0,1269230769",,,,,,,,"0,8301886792","1,204545455",,,,,,,,,,,,,
"2,980769231","-0,09615384615","-0,01923076923",,,,,,,,"0,8974358974","1,114285714",,,,,,,,,,,,,
"4,230769231","-0,2307692308","-0,04615384615",,,,,,,,"0,9482758621","1,054545455",,,,,,,,,,,,,
"1,942307692","-0,05769230769","-0,01153846154",,,,,,,,"0,8333333333","1,2",,,,,,,,,,,,,
4,0,0,,,,,,,,"1,083333333","0,9230769231",,,,,,,,,,,,,
"2,961538462","-0,1153846154","-0,02307692308",,,,,,,,"0,6304347826","1,586206897",,,,,,,,,,,,,
"3,211538462","-0,8653846154","-0,1730769231",,,,,,,,"0,7037037037","1,421052632",,,,,,,,,,,,,
"1,346153846","-0,8846153846","-0,1769230769",,,,,,,,"1,4","0,7142857143",,,,,,,,,,,,,
"3,076923077","-0,6153846154","-0,1230769231",,,,,,,,"0,7959183673","1,256410256",,,,,,,,,,,,,
"2,865384615","-0,2115384615","-0,04230769231",,,,,,,,"0,6170212766","1,620689655",,,,,,,,,,,,,
"4,211538462","-0,1730769231","-0,03461538462",,,,,,,,"0,8196721311","1,22",,,,,,,,,,,,,
"1,576923077","-0,1923076923","-0,03846153846",,,,,,,,"2,222222222","0,45",,,,,,,,,,,,,
"4,115384615","-0,1923076923","-0,03846153846",,,,,,,,"1,06","0,9433962264",,,,,,,,,,,,,
"3,692307692","-0,1538461538","-0,03076923077",,,,,,,,"0,7636363636","1,30952381",,,,,,,,,,,,,
"4,134615385","-0,09615384615","-0,01923076923",,,,,,,,"0,8666666667","1,153846154",,,,,,,,,,,,,
"3,788461538","0,4038461538","0,08076923077",,,,,,,,"0,9130434783","1,095238095",,,,,,,,,,,,,
"3,769230769",0,0,,,,,,,,"1,020408163","0,98",,,,,,,,,,,,,
"3,307692308","-0,1538461538","-0,03076923077",,,,,,,,"0,7826086957","1,277777778",,,,,,,,,,,,,
"2,25","0,4038461538","0,08076923077",,,,,,,,"1,333333333","0,75",,,,,,,,,,,,,
"3,519230769","-0,25","-0,05",,,,,,,,"0,9545454545","1,047619048",,,,,,,,,,,,,