normal and strong mean,Emotion,Mean Emotion,Max per Emotion,,,
,,,,,,
,,,,,,
"3,384615385",,,,,,
"3,976923077",angry,"3,680769231","4,046153846",,,fearful
,basic_tts,"1,369230769","1,369230769",,,neutral
,,,,,,sad
,,,,,,angry
"3,584615385",,,,,,calm
"1,946153846",calm,"2,765384615","3,923076923",,,surprised
,,,,,,disgust
,,,,,,neutral
"3,592307692",,,,,,basic_tts
"2,269230769",disgust,"2,930769231","3,769230769",,,
,,,,,,
,,,,,,
"4,138461538",,,,,,
"2,469230769",fearful,"3,303846154","4,276923077",,,
,,,,,,
,,,,,,
"3,292307692",,,,,,
"2,215384615",happy,"2,753846154","3,384615385",,,
,,,,,,
,neutral,"2,930769231","4,246153846",,,
,,,,,,
,,,,,,
"4,153846154",,,,,,
"3,715384615",sad,"3,934615385","4,153846154",,,
,,,,,,
,,,,,,
"2,969230769",,,,,,
"3,453846154",surprised,"3,211538462","3,769230769",,,